2026-09-10T07:35:13.4194087Z START validation
2026-09-10T07:35:21.4268169Z VALIDATED disk=1 serial=121220160204 diskBytes=31268536320 imageBytes=2571108352
2026-09-10T07:35:21.4307161Z WRITE started
2026-09-10T07:35:29.9390419Z WRITE bytes=134217728 total=2571108352
2026-09-10T07:35:36.9934070Z WRITE bytes=268435456 total=2571108352
2026-09-10T07:35:45.4002771Z WRITE bytes=402653184 total=2571108352
2026-09-10T07:35:52.4251203Z WRITE bytes=536870912 total=2571108352
2026-09-10T07:36:00.8144796Z WRITE bytes=671088640 total=2571108352
2026-09-10T07:36:07.8518625Z WRITE bytes=805306368 total=2571108352
2026-09-10T07:36:16.2543148Z WRITE bytes=939524096 total=2571108352
2026-09-10T07:36:23.2898351Z WRITE bytes=1073741824 total=2571108352
2026-09-10T07:36:31.6729618Z WRITE bytes=1207959552 total=2571108352
2026-09-10T07:36:38.7423404Z WRITE bytes=1342177280 total=2571108352
2026-09-10T07:36:47.1458581Z WRITE bytes=1476395008 total=2571108352
2026-09-10T07:36:54.2025861Z WRITE bytes=1610612736 total=2571108352
2026-09-10T07:37:02.6234141Z WRITE bytes=1744830464 total=2571108352
2026-09-10T07:37:09.6464866Z WRITE bytes=1879048192 total=2571108352
2026-09-10T07:37:17.8039175Z WRITE bytes=2013265920 total=2571108352
2026-09-10T07:37:25.0840799Z WRITE bytes=2147483648 total=2571108352
2026-09-10T07:37:32.6478977Z WRITE bytes=2281701376 total=2571108352
2026-09-10T07:37:40.5563942Z WRITE bytes=2415919104 total=2571108352
2026-09-10T07:37:47.6370046Z WRITE bytes=2550136832 total=2571108352
2026-09-10T07:37:49.6374379Z WRITE bytes=2571108352 total=2571108352
2026-09-10T07:37:49.6418707Z WRITE completed and flushed
2026-09-10T07:37:50.6461372Z READBACK started
2026-09-10T07:37:58.4298349Z READBACK bytes=134217728 total=2571108352
2026-09-10T07:38:06.1984483Z READBACK bytes=268435456 total=2571108352
2026-09-10T07:38:13.9555238Z READBACK bytes=402653184 total=2571108352
2026-09-10T07:38:21.7253183Z READBACK bytes=536870912 total=2571108352
2026-09-10T07:38:29.4068424Z READBACK bytes=671088640 total=2571108352
2026-09-10T07:38:37.2300109Z READBACK bytes=805306368 total=2571108352
2026-09-10T07:38:44.9286115Z READBACK bytes=939524096 total=2571108352
2026-09-10T07:38:52.6529597Z READBACK bytes=1073741824 total=2571108352
2026-09-10T07:39:00.3820728Z READBACK bytes=1207959552 total=2571108352
2026-09-10T07:39:08.1075772Z READBACK bytes=1342177280 total=2571108352
2026-09-10T07:39:15.8062378Z READBACK bytes=1476395008 total=2571108352
2026-09-10T07:39:23.5484840Z READBACK bytes=1610612736 total=2571108352
2026-09-10T07:39:31.3112243Z READBACK bytes=1744830464 total=2571108352
2026-09-10T07:39:39.1178776Z READBACK bytes=1879048192 total=2571108352
2026-09-10T07:39:46.8922169Z READBACK bytes=2013265920 total=2571108352
2026-09-10T07:39:54.6521469Z READBACK bytes=2147483648 total=2571108352
2026-09-10T07:40:02.3889938Z READBACK bytes=2281701376 total=2571108352
2026-09-10T07:40:10.1453375Z READBACK bytes=2415919104 total=2571108352
2026-09-10T07:40:17.9156539Z READBACK bytes=2550136832 total=2571108352
2026-09-10T07:40:19.1301602Z READBACK bytes=2571108352 total=2571108352
2026-09-10T07:40:19.1348314Z READBACK verified sha256=c6a5add51d7afe0269c235ecd89f2e369fc60c3e54148e284e945f0407d67d93
2026-09-10T07:40:19.1468291Z PASS result=C:\D\004-Project\002-Java\database-refactor-three-end-sync\hardware\image-artifacts\local\flash-v35-disk1.result.json
