2026-08-29T02:30:42.2105306Z START validation
2026-08-29T02:30:49.8577504Z VALIDATED disk=1 serial=121220160204 diskBytes=31268536320 imageBytes=2571108352
2026-08-29T02:30:49.8621121Z WRITE started
2026-08-29T02:30:57.7222961Z WRITE bytes=134217728 total=2571108352
2026-08-29T02:31:05.6572746Z WRITE bytes=268435456 total=2571108352
2026-08-29T02:31:12.8236246Z WRITE bytes=402653184 total=2571108352
2026-08-29T02:31:21.3305980Z WRITE bytes=536870912 total=2571108352
2026-08-29T02:31:28.3624364Z WRITE bytes=671088640 total=2571108352
2026-08-29T02:31:36.9837569Z WRITE bytes=805306368 total=2571108352
2026-08-29T02:31:44.0130814Z WRITE bytes=939524096 total=2571108352
2026-08-29T02:31:52.6167191Z WRITE bytes=1073741824 total=2571108352
2026-08-29T02:31:59.6556009Z WRITE bytes=1207959552 total=2571108352
2026-08-29T02:32:08.2442291Z WRITE bytes=1342177280 total=2571108352
2026-08-29T02:32:15.3371971Z WRITE bytes=1476395008 total=2571108352
2026-08-29T02:32:23.9248461Z WRITE bytes=1610612736 total=2571108352
2026-08-29T02:32:30.9718528Z WRITE bytes=1744830464 total=2571108352
2026-08-29T02:32:39.5484106Z WRITE bytes=1879048192 total=2571108352
2026-08-29T02:32:46.6374469Z WRITE bytes=2013265920 total=2571108352
2026-08-29T02:32:55.1240820Z WRITE bytes=2147483648 total=2571108352
2026-08-29T02:33:02.1585114Z WRITE bytes=2281701376 total=2571108352
2026-08-29T02:33:10.6449912Z WRITE bytes=2415919104 total=2571108352
2026-08-29T02:33:17.6763563Z WRITE bytes=2550136832 total=2571108352
2026-08-29T02:33:18.7845736Z WRITE bytes=2571108352 total=2571108352
2026-08-29T02:33:18.7879045Z WRITE completed and flushed
2026-08-29T02:33:19.8011578Z READBACK started
2026-08-29T02:33:26.8275083Z READBACK bytes=134217728 total=2571108352
2026-08-29T02:33:33.7681037Z READBACK bytes=268435456 total=2571108352
2026-08-29T02:33:40.7555903Z READBACK bytes=402653184 total=2571108352
2026-08-29T02:33:47.7831768Z READBACK bytes=536870912 total=2571108352
2026-08-29T02:33:54.7434269Z READBACK bytes=671088640 total=2571108352
2026-08-29T02:34:01.7028004Z READBACK bytes=805306368 total=2571108352
2026-08-29T02:34:08.6680493Z READBACK bytes=939524096 total=2571108352
2026-08-29T02:34:15.6307210Z READBACK bytes=1073741824 total=2571108352
2026-08-29T02:34:22.6019642Z READBACK bytes=1207959552 total=2571108352
2026-08-29T02:34:29.5666974Z READBACK bytes=1342177280 total=2571108352
2026-08-29T02:34:36.5228279Z READBACK bytes=1476395008 total=2571108352
2026-08-29T02:34:43.4690680Z READBACK bytes=1610612736 total=2571108352
2026-08-29T02:34:50.4660510Z READBACK bytes=1744830464 total=2571108352
2026-08-29T02:34:57.4268693Z READBACK bytes=1879048192 total=2571108352
2026-08-29T02:35:04.3918847Z READBACK bytes=2013265920 total=2571108352
2026-08-29T02:35:11.3953984Z READBACK bytes=2147483648 total=2571108352
2026-08-29T02:35:18.3523896Z READBACK bytes=2281701376 total=2571108352
2026-08-29T02:35:25.2972040Z READBACK bytes=2415919104 total=2571108352
2026-08-29T02:35:32.2439381Z READBACK bytes=2550136832 total=2571108352
2026-08-29T02:35:33.3268042Z READBACK bytes=2571108352 total=2571108352
2026-08-29T02:35:33.3356355Z READBACK verified sha256=4c95087f512f0fb3f1b995aea20200f8a617788b7019a69ea98ff18d0d463ae8
2026-08-29T02:35:33.3512777Z PASS result=C:\D\004-Project\002-Java\database-refactor-three-end-sync\hardware\image-artifacts\evidence\hil-factory-login-20260828-08-cellular-recovery-time-convergence\flash-result-disk1-121220160204-v8.json
