2026-09-14T05:21:01.6036402Z START validation
2026-09-14T05:21:08.1764917Z VALIDATED disk=1 serial=121220160204 diskBytes=31268536320 imageBytes=2571108352
2026-09-14T05:21:08.1814988Z WRITE started
2026-09-14T05:21:15.2618307Z WRITE bytes=134217728 total=2571108352
2026-09-14T05:21:23.7755610Z WRITE bytes=268435456 total=2571108352
2026-09-14T05:21:30.7997211Z WRITE bytes=402653184 total=2571108352
2026-09-14T05:21:39.2936448Z WRITE bytes=536870912 total=2571108352
2026-09-14T05:21:46.3797249Z WRITE bytes=671088640 total=2571108352
2026-09-14T05:21:54.2948974Z WRITE bytes=805306368 total=2571108352
2026-09-14T05:22:01.9159154Z WRITE bytes=939524096 total=2571108352
2026-09-14T05:22:09.2965977Z WRITE bytes=1073741824 total=2571108352
2026-09-14T05:22:17.6403007Z WRITE bytes=1207959552 total=2571108352
2026-09-14T05:22:24.6595710Z WRITE bytes=1342177280 total=2571108352
2026-09-14T05:22:33.3571776Z WRITE bytes=1476395008 total=2571108352
2026-09-14T05:22:40.3711869Z WRITE bytes=1610612736 total=2571108352
2026-09-14T05:22:49.0395123Z WRITE bytes=1744830464 total=2571108352
2026-09-14T05:22:56.0629268Z WRITE bytes=1879048192 total=2571108352
2026-09-14T05:23:04.7281226Z WRITE bytes=2013265920 total=2571108352
2026-09-14T05:23:11.7825841Z WRITE bytes=2147483648 total=2571108352
2026-09-14T05:23:20.3520007Z WRITE bytes=2281701376 total=2571108352
2026-09-14T05:23:27.3740309Z WRITE bytes=2415919104 total=2571108352
2026-09-14T05:23:35.8833731Z WRITE bytes=2550136832 total=2571108352
2026-09-14T05:23:36.9883329Z WRITE bytes=2571108352 total=2571108352
2026-09-14T05:23:36.9913402Z WRITE completed and flushed
2026-09-14T05:23:37.9960146Z READBACK started
2026-09-14T05:23:44.9494379Z READBACK bytes=134217728 total=2571108352
2026-09-14T05:23:51.8817704Z READBACK bytes=268435456 total=2571108352
2026-09-14T05:23:58.8112616Z READBACK bytes=402653184 total=2571108352
2026-09-14T05:24:05.7372255Z READBACK bytes=536870912 total=2571108352
2026-09-14T05:24:12.6809467Z READBACK bytes=671088640 total=2571108352
2026-09-14T05:24:19.6104360Z READBACK bytes=805306368 total=2571108352
2026-09-14T05:24:26.5428300Z READBACK bytes=939524096 total=2571108352
2026-09-14T05:24:33.4763921Z READBACK bytes=1073741824 total=2571108352
2026-09-14T05:24:40.4057093Z READBACK bytes=1207959552 total=2571108352
2026-09-14T05:24:47.3427615Z READBACK bytes=1342177280 total=2571108352
2026-09-14T05:24:54.2737569Z READBACK bytes=1476395008 total=2571108352
2026-09-14T05:25:01.2189762Z READBACK bytes=1610612736 total=2571108352
2026-09-14T05:25:08.1505451Z READBACK bytes=1744830464 total=2571108352
2026-09-14T05:25:15.1630090Z READBACK bytes=1879048192 total=2571108352
2026-09-14T05:25:22.0936093Z READBACK bytes=2013265920 total=2571108352
2026-09-14T05:25:29.0287144Z READBACK bytes=2147483648 total=2571108352
2026-09-14T05:25:35.9553424Z READBACK bytes=2281701376 total=2571108352
2026-09-14T05:25:42.8875431Z READBACK bytes=2415919104 total=2571108352
2026-09-14T05:25:49.8116245Z READBACK bytes=2550136832 total=2571108352
2026-09-14T05:25:50.8938981Z READBACK bytes=2571108352 total=2571108352
2026-09-14T05:25:50.8989240Z READBACK verified sha256=94e1bf8314310379c579ea469ae742949b7c121fefd8c6455ab0ca9869f2b84d
2026-09-14T05:25:50.9812068Z PASS result=C:\D\004-Project\002-Java\database-refactor-three-end-sync\hardware\image-artifacts\local\flash-v40-disk1.result.json
