2026-09-10T09:48:05.8210969Z START validation
2026-09-10T09:48:13.7717989Z VALIDATED disk=1 serial=121220160204 diskBytes=31268536320 imageBytes=2571108352
2026-09-10T09:48:13.7751113Z WRITE started
2026-09-10T09:48:22.4313790Z WRITE bytes=134217728 total=2571108352
2026-09-10T09:48:29.4672722Z WRITE bytes=268435456 total=2571108352
2026-09-10T09:48:37.9913189Z WRITE bytes=402653184 total=2571108352
2026-09-10T09:48:44.9988028Z WRITE bytes=536870912 total=2571108352
2026-09-10T09:48:53.4828291Z WRITE bytes=671088640 total=2571108352
2026-09-10T09:49:00.5141822Z WRITE bytes=805306368 total=2571108352
2026-09-10T09:49:09.0167061Z WRITE bytes=939524096 total=2571108352
2026-09-10T09:49:16.0228902Z WRITE bytes=1073741824 total=2571108352
2026-09-10T09:49:24.4851977Z WRITE bytes=1207959552 total=2571108352
2026-09-10T09:49:31.5184191Z WRITE bytes=1342177280 total=2571108352
2026-09-10T09:49:39.6258743Z WRITE bytes=1476395008 total=2571108352
2026-09-10T09:49:46.9702512Z WRITE bytes=1610612736 total=2571108352
2026-09-10T09:49:54.4510342Z WRITE bytes=1744830464 total=2571108352
2026-09-10T09:50:02.3890450Z WRITE bytes=1879048192 total=2571108352
2026-09-10T09:50:09.3913972Z WRITE bytes=2013265920 total=2571108352
2026-09-10T09:50:17.7999873Z WRITE bytes=2147483648 total=2571108352
2026-09-10T09:50:24.7954410Z WRITE bytes=2281701376 total=2571108352
2026-09-10T09:50:33.1799766Z WRITE bytes=2415919104 total=2571108352
2026-09-10T09:50:40.1853997Z WRITE bytes=2550136832 total=2571108352
2026-09-10T09:50:41.2766791Z WRITE bytes=2571108352 total=2571108352
2026-09-10T09:50:41.2796568Z WRITE completed and flushed
2026-09-10T09:50:42.2853386Z READBACK started
2026-09-10T09:50:50.0291997Z READBACK bytes=134217728 total=2571108352
2026-09-10T09:50:57.7735250Z READBACK bytes=268435456 total=2571108352
2026-09-10T09:51:05.5248151Z READBACK bytes=402653184 total=2571108352
2026-09-10T09:51:13.2854331Z READBACK bytes=536870912 total=2571108352
2026-09-10T09:51:21.0316252Z READBACK bytes=671088640 total=2571108352
2026-09-10T09:51:28.7594558Z READBACK bytes=805306368 total=2571108352
2026-09-10T09:51:36.5298773Z READBACK bytes=939524096 total=2571108352
2026-09-10T09:51:44.2774322Z READBACK bytes=1073741824 total=2571108352
2026-09-10T09:51:52.0288873Z READBACK bytes=1207959552 total=2571108352
2026-09-10T09:51:59.7705776Z READBACK bytes=1342177280 total=2571108352
2026-09-10T09:52:07.5025703Z READBACK bytes=1476395008 total=2571108352
2026-09-10T09:52:15.2697235Z READBACK bytes=1610612736 total=2571108352
2026-09-10T09:52:23.0830717Z READBACK bytes=1744830464 total=2571108352
2026-09-10T09:52:30.8840579Z READBACK bytes=1879048192 total=2571108352
2026-09-10T09:52:38.6702473Z READBACK bytes=2013265920 total=2571108352
2026-09-10T09:52:46.4625824Z READBACK bytes=2147483648 total=2571108352
2026-09-10T09:52:54.2685964Z READBACK bytes=2281701376 total=2571108352
2026-09-10T09:53:02.0555067Z READBACK bytes=2415919104 total=2571108352
2026-09-10T09:53:09.8629492Z READBACK bytes=2550136832 total=2571108352
2026-09-10T09:53:11.0887285Z READBACK bytes=2571108352 total=2571108352
2026-09-10T09:53:11.0930724Z READBACK verified sha256=898938884a3a1cd8a05279780bf8c6117b2de13801118aca7ad9aa19082490c6
2026-09-10T09:53:11.1062211Z PASS result=C:\D\004-Project\002-Java\database-refactor-three-end-sync\hardware\image-artifacts\local\flash-v36-disk1.result.json
